DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2020
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"292467 Piraí do Norte";-;2;-;1;-;-;-;-;-;-;-;-;3
"292470 Piripá";-;1;-;2;-;-;-;-;-;-;-;-;3
"292480 Piritiba";-;1;4;-;-;-;-;-;-;-;-;-;5
"292490 Planaltino";-;-;-;1;-;-;-;-;-;-;-;-;1
"292500 Planalto";-;-;4;29;22;8;-;-;-;-;-;-;63
"292510 Poções";-;-;1;1;-;2;1;-;-;-;1;-;6
"292520 Pojuca";-;4;7;13;46;86;11;14;9;8;10;14;222
"292530 Porto Seguro";9;-;3;4;12;12;8;3;-;-;-;-;51
"292540 Potiraguá";-;-;-;1;1;-;-;-;-;-;-;-;2
"292550 Prado";5;7;4;24;27;4;1;-;-;-;-;-;72
"292560 Presidente Dutra";-;-;-;4;2;4;80;15;-;1;-;-;106
"292570 Presidente Jânio Quadros";-;-;-;1;3;-;-;-;-;-;1;-;5
"292575 Presidente Tancredo Neves";-;1;-;-;3;29;-;1;-;-;1;-;35
"292580 Queimadas";-;-;3;9;3;-;-;-;-;-;-;-;15
"292590 Quijingue";-;-;1;-;-;-;-;-;-;-;-;-;1
"292595 Rafael Jambeiro";-;-;1;-;9;5;1;-;-;-;-;-;16
"292610 Retirolândia";2;11;8;8;3;-;-;-;-;-;-;-;32
"292620 Riachão das Neves";-;-;-;8;12;8;3;4;-;-;-;-;35
"292640 Riacho de Santana";3;1;4;6;3;-;-;-;-;-;-;-;17
"292660 Ribeira do Pombal";1;3;-;32;138;140;43;7;3;1;-;-;368
"292665 Ribeirão do Largo";-;-;-;-;-;1;-;-;-;-;-;-;1
"292670 Rio de Contas";2;1;-;2;2;-;2;-;-;-;1;-;10
"292680 Rio do Antônio";-;3;2;1;-;-;-;-;-;-;-;-;6
"292690 Rio do Pires";-;-;-;-;-;-;-;5;-;-;-;-;5
"292700 Rio Real";-;-;-;-;-;-;-;-;2;3;-;1;6
"292720 Ruy Barbosa";-;-;-;1;-;-;-;-;-;-;-;-;1
"292730 Salinas da Margarida";-;-;-;1;-;-;-;-;-;-;-;-;1
"292740 Salvador";65;182;93;96;107;58;29;20;6;12;3;12;683
"292770 Santa Cruz Cabrália";-;3;7;16;43;27;9;3;-;-;-;-;108
"292790 Santa Inês";-;-;-;-;1;1;-;-;-;-;-;-;2
"292805 Santa Luzia";-;-;-;-;2;1;-;-;-;-;-;-;3
"292810 Santa Maria da Vitória";5;6;10;32;87;67;56;28;15;1;-;-;307
"292840 Santa Rita de Cássia";-;-;-;-;1;-;-;-;-;-;-;-;1
"292850 Santa Teresinha";-;-;-;1;-;-;1;-;-;-;-;-;2
"292800 Santaluz";-;-;14;28;23;2;-;-;-;-;-;-;67
"292820 Santana";-;1;-;3;9;1;-;-;-;-;-;-;14
"292830 Santanópolis";-;-;-;-;-;-;1;1;-;-;-;-;2
"292860 Santo Amaro";-;1;1;4;2;1;1;-;-;-;-;-;10
"292870 Santo Antônio de Jesus";5;9;13;4;-;-;-;-;1;-;-;1;33
"292880 Santo Estêvão";-;11;1;2;2;2;1;-;1;-;-;-;20
"292890 São Desidério";-;-;1;-;10;5;1;1;-;-;-;-;18
"292895 São Domingos";1;13;9;14;19;18;1;-;-;-;-;-;75
"292900 São Félix";5;6;13;5;2;-;-;-;-;-;-;-;31
"292905 São Félix do Coribe";-;-;1;7;1;2;2;-;-;-;-;-;13
"292920 São Francisco do Conde";-;-;-;3;-;-;-;-;-;1;-;-;4
"292925 São Gabriel";1;-;-;6;15;21;3;1;-;-;1;1;49
"292930 São Gonçalo dos Campos";-;2;1;-;3;-;-;-;-;-;-;-;6
"292935 São José da Vitória";-;-;3;6;11;9;2;-;-;1;-;-;32
"292940 São Miguel das Matas";-;-;4;7;5;3;-;-;-;-;-;-;19
"292950 São Sebastião do Passé";-;-;-;-;-;1;-;-;-;-;-;-;1
"292960 Sapeaçu";-;1;6;-;2;-;-;-;-;1;-;1;11
"292975 Saubara";-;-;5;-;-;1;-;-;-;-;-;-;6
"292980 Saúde";-;-;-;-;1;-;-;-;-;-;-;-;1
"292990 Seabra";-;-;-;3;2;-;-;-;-;-;-;-;5
"293000 Sebastião Laranjeiras";-;15;39;66;33;18;5;1;4;-;1;1;183
"293010 Senhor do Bonfim";-;1;-;2;-;1;-;-;-;1;-;-;5
"293015 Serra do Ramalho";-;-;1;-;1;1;-;-;-;-;-;-;3
"293050 Serrinha";5;25;296;615;169;31;3;1;-;-;1;-;1146
"293060 Serrolândia";-;-;-;1;3;1;-;-;-;-;-;-;5
"293070 Simões Filho";8;49;150;122;142;83;18;19;20;6;6;15;638
"293075 Sítio do Mato";-;-;-;-;-;1;1;1;1;-;-;-;4
"293076 Sítio do Quinto";-;1;4;3;4;-;-;-;-;-;-;-;12
"293080 Souto Soares";-;1;-;-;-;-;-;-;-;-;-;-;1
"293100 Tanhaçu";-;2;18;82;95;37;24;6;1;-;-;-;265
"293105 Tanque Novo";-;-;-;-;1;-;-;-;-;-;-;-;1
"293110 Tanquinho";2;-;3;1;5;3;2;4;13;-;1;2;36
"293120 Taperoá";-;-;-;2;-;-;-;-;-;-;-;-;2
"293135 Teixeira de Freitas";3;-;2;-;1;-;-;-;-;-;-;-;6
"293150 Teofilândia";-;-;-;2;-;-;-;-;-;-;-;-;2
"293160 Teolândia";-;-;-;-;-;2;-;-;-;-;-;-;2
"293170 Terra Nova";-;-;-;-;-;-;1;-;-;-;-;-;1
"293180 Tremedal";-;-;-;1;-;-;-;-;-;-;-;-;1
"293190 Tucano";1;1;23;54;75;14;6;2;-;-;-;-;176
"293200 Uauá";2;-;7;22;40;37;24;2;3;-;-;-;137
"293210 Ubaíra";14;26;13;65;77;23;3;2;2;-;-;1;226
"293220 Ubaitaba";-;-;-;5;15;17;-;1;-;1;-;-;39
"293230 Ubatã";1;-;4;14;22;8;-;2;1;-;-;1;53
"293240 Uibaí";7;2;79;184;43;10;-;-;1;-;-;-;326
"293250 Una";-;-;-;1;5;1;2;2;1;3;5;1;21
"293260 Urandi";-;-;1;-;-;-;-;-;-;-;-;-;1
"293270 Uruçuca";-;5;16;4;13;6;3;-;1;2;-;-;50
"293280 Utinga";1;-;-;10;5;2;-;1;-;-;-;-;19
"293290 Valença";2;-;1;-;-;-;-;1;-;-;-;-;4
"293300 Valente";4;1;-;1;1;3;-;-;-;-;-;-;10
"293310 Várzea do Poço";-;-;-;-;-;1;-;-;-;-;-;-;1
"293315 Várzea Nova";-;-;-;2;15;4;-;-;-;-;-;-;21
"293317 Varzedo";-;1;1;-;-;-;-;-;-;-;-;-;2
"293320 Vera Cruz";2;1;-;-;1;-;-;-;-;-;-;1;5
"293330 Vitória da Conquista";2;40;334;956;864;510;265;23;10;5;6;2;3017
"293340 Wagner";-;-;-;2;9;3;1;-;-;-;1;-;16
"293345 Wanderley";1;-;-;-;-;-;-;-;-;-;-;-;1
"293350 Wenceslau Guimarães";-;-;-;1;1;-;-;-;-;-;-;-;2
"293360 Xique-Xique";-;-;-;2;1;1;1;-;-;-;-;-;5
"310010 Abadia dos Dourados";-;1;3;2;-;-;-;-;1;-;3;-;10
"310020 Abaeté";-;2;5;4;8;1;1;-;-;-;-;-;21
"310030 Abre Campo";-;-;-;2;2;6;-;-;-;-;-;-;10
"310040 Acaiaca";-;-;7;23;23;1;2;-;-;-;-;-;56
"310050 Açucena";3;32;28;33;21;4;1;1;-;1;-;1;125
"310060 Água Boa";-;-;1;2;-;-;-;-;-;-;-;-;3
"310080 Aguanil";1;3;6;6;4;-;-;-;-;-;-;-;20
"310090 Águas Formosas";-;1;8;19;37;16;6;-;-;-;-;1;88
"310100 Águas Vermelhas";1;3;1;3;9;-;-;-;-;-;-;-;17
"310110 Aimorés";5;5;16;1;3;3;-;1;-;-;1;-;35
"310120 Aiuruoca";-;2;-;-;-;-;-;-;-;-;-;-;2
"310150 Além Paraíba";1;-;1;7;6;1;-;-;-;-;-;-;16
"310160 Alfenas";28;77;197;393;254;41;18;3;4;1;1;4;1021
"310170 Almenara";3;6;3;3;6;-;1;-;-;-;-;1;23
"310180 Alpercata";1;-;-;7;1;1;-;-;-;-;-;-;10
"310190 Alpinópolis";4;4;1;-;-;-;1;-;-;-;-;-;10
"310200 Alterosa";-;1;9;4;1;1;2;-;-;-;-;-;18
"310205 Alto Caparaó";-;-;-;-;-;1;-;-;-;-;-;-;1
"315350 Alto Jequitibá";8;76;135;108;20;2;-;-;-;-;-;1;350
"310220 Alvarenga";1;-;11;11;14;-;-;-;1;-;-;-;38
"310230 Alvinópolis";-;1;1;2;-;-;2;1;1;-;-;-;8
"310240 Alvorada de Minas";1;1;1;4;-;1;-;-;-;-;-;-;8
"310250 Amparo do Serra";-;-;-;15;6;1;-;-;-;-;-;-;22
"310260 Andradas";-;3;6;12;2;1;-;-;-;-;-;-;24
"310280 Andrelândia";-;-;1;24;6;2;-;-;-;-;-;-;33
"310290 Antônio Carlos";-;-;1;-;-;-;-;-;-;-;-;-;1
"310300 Antônio Dias";1;-;-;1;1;1;1;-;-;-;-;-;5
"310310 Antônio Prado de Minas";-;-;1;-;-;-;-;-;-;-;-;-;1
"310320 Araçaí";-;-;-;2;-;-;-;-;-;-;-;-;2
"310340 Araçuaí";14;30;86;191;309;83;34;14;9;5;14;13;802
"310350 Araguari";1;-;-;1;1;2;-;5;4;2;3;-;19
"310370 Araponga";-;-;-;-;-;-;1;-;-;-;-;-;1
"310375 Araporã";1;1;2;-;-;-;-;-;-;-;-;-;4
"310380 Arapuá";-;-;-;1;-;-;-;-;-;-;-;-;1
"310390 Araújos";-;-;-;1;-;1;-;-;-;-;-;-;2
"310400 Araxá";4;18;14;48;23;10;3;1;1;1;-;1;124
"310410 Arceburgo";12;19;28;25;6;2;1;-;-;-;-;2;95
"310420 Arcos";-;-;-;-;1;-;-;-;-;-;-;-;1
"310430 Areado";-;1;16;36;19;-;2;-;1;1;-;-;76
"310445 Aricanduva";-;1;-;-;-;-;-;-;-;-;-;-;1
"310450 Arinos";-;1;5;21;30;14;10;2;2;-;1;1;87
"310460 Astolfo Dutra";14;92;97;41;19;5;3;-;-;-;-;2;273
"310470 Ataléia";-;-;-;-;1;1;1;-;-;-;-;-;3
"310480 Augusto de Lima";-;-;-;-;-;-;1;-;-;-;-;-;1
"310490 Baependi";7;43;44;84;23;2;1;-;-;-;-;-;204
"310500 Baldim";-;1;-;-;-;-;-;-;-;-;-;-;1
"310510 Bambuí";2;2;4;5;-;-;-;-;-;-;-;-;13
"310520 Bandeira";141;32;1;-;1;-;-;-;-;-;-;4;179
"310530 Bandeira do Sul";-;-;-;-;1;-;-;-;-;-;-;-;1
"310540 Barão de Cocais";-;-;1;-;-;-;-;-;-;-;-;-;1
"310550 Barão de Monte Alto";1;-;-;-;-;-;-;-;-;-;-;-;1
"310560 Barbacena";5;1;2;-;-;-;-;-;-;-;-;-;8
"310590 Barroso";-;-;-;-;3;-;1;-;-;-;-;-;4
"310600 Bela Vista de Minas";-;-;-;1;-;-;-;-;-;-;1;1;3
"310620 Belo Horizonte";144;348;497;267;122;43;26;19;12;5;11;15;1509
"310630 Belo Oriente";97;87;26;9;8;3;2;1;-;-;-;10;243
"310640 Belo Vale";-;1;-;1;1;-;-;-;2;-;-;1;6
"310650 Berilo";2;9;10;15;5;3;2;1;-;-;-;-;47
"310670 Betim";9;15;40;22;3;21;8;19;14;9;14;7;181
"310690 Bicas";-;1;2;2;1;-;-;-;-;-;-;-;6
"310710 Boa Esperança";1;6;17;51;44;7;1;2;1;1;-;1;132
"310730 Bocaiúva";20;23;29;43;25;8;11;5;11;4;4;4;187
"310740 Bom Despacho";1;93;239;131;46;6;1;2;-;2;-;-;521
"310750 Bom Jardim de Minas";-;-;1;-;-;-;-;-;-;-;-;-;1
"310760 Bom Jesus da Penha";-;6;1;-;-;-;-;-;-;-;-;-;7
"310770 Bom Jesus do Amparo";-;2;-;-;-;-;-;-;-;-;-;-;2
"310780 Bom Jesus do Galho";-;7;5;12;19;9;1;-;-;1;-;-;54
"310800 Bom Sucesso";-;1;1;-;-;-;-;-;-;-;-;-;2
"310810 Bonfim";-;-;1;-;-;1;-;-;-;1;-;-;3
"310820 Bonfinópolis de Minas";-;2;7;11;-;-;-;-;-;-;-;-;20
"310825 Bonito de Minas";-;1;2;-;-;-;-;-;-;-;-;-;3
"310830 Borda da Mata";-;1;-;-;-;-;-;-;-;-;1;1;3
"310850 Botumirim";1;-;-;-;-;-;-;-;-;-;-;-;1
"310870 Brás Pires";-;2;-;-;-;-;-;-;-;-;-;-;2
"310855 Brasilândia de Minas";-;-;-;1;7;-;1;1;-;-;-;-;10
"310860 Brasília de Minas";-;5;4;2;2;-;1;-;-;-;-;-;14
"310880 Braúnas";-;1;2;2;8;4;-;-;-;-;-;-;17
"310890 Brazópolis";-;1;-;-;-;-;-;-;-;-;-;-;1
"310900 Brumadinho";12;36;65;19;8;3;3;2;5;4;2;1;160
"310925 Bugre";1;-;-;2;-;2;-;-;-;-;-;-;5
"310930 Buritis";2;1;2;1;3;4;1;-;-;1;-;-;15
"310940 Buritizeiro";1;-;2;3;1;-;2;-;-;-;-;-;9
"310945 Cabeceira Grande";-;2;8;17;11;2;1;-;-;-;-;-;41
"310960 Cachoeira da Prata";-;3;1;-;-;-;-;-;-;-;-;-;4
"310970 Cachoeira de Minas";1;-;-;-;-;-;-;-;-;1;-;-;2
"310270 Cachoeira de Pajeú";2;1;3;2;4;5;-;-;-;-;-;-;17
"310980 Cachoeira Dourada";-;-;-;1;-;-;-;-;-;-;-;-;1
"311000 Caeté";2;3;13;40;8;3;-;-;-;-;-;-;69
"311080 Campanário";4;17;8;3;1;-;-;-;-;-;-;-;33
"311090 Campanha";-;-;-;4;5;2;1;-;-;-;-;-;12
"311110 Campina Verde";12;6;12;3;4;7;19;4;1;1;-;-;69
"311115 Campo Azul";2;10;52;8;1;-;-;-;-;-;-;-;73
"311120 Campo Belo";5;4;1;-;-;-;-;-;-;-;-;-;10
"311140 Campo Florido";5;5;13;14;9;3;1;-;-;-;-;-;50
"311150 Campos Altos";-;1;5;4;-;-;-;-;-;-;-;-;10
"311160 Campos Gerais";1;-;-;1;3;-;-;-;-;-;-;-;5
"311190 Cana Verde";-;1;4;6;-;-;-;-;-;-;-;-;11
"311180 Canápolis";4;11;16;9;7;5;1;1;-;-;1;1;56
"311200 Candeias";-;8;4;6;1;1;-;-;1;-;-;-;21
"311205 Cantagalo";-;-;5;10;8;2;-;-;-;-;-;-;25
"311210 Caparaó";-;1;-;-;-;-;-;-;-;-;-;-;1
"311240 Capetinga";-;-;3;1;2;-;-;-;-;-;-;-;6
"311250 Capim Branco";8;12;8;9;3;3;-;-;-;-;1;-;44
"311260 Capinópolis";8;10;16;11;9;7;7;4;2;-;1;5;80
"311265 Capitão Andrade";5;9;3;5;2;1;-;-;-;-;-;1;26
"311270 Capitão Enéas";-;-;-;-;-;-;-;1;-;-;-;-;1
"311280 Capitólio";2;1;9;42;22;6;1;-;-;1;-;1;85
"311290 Caputira";-;-;-;2;-;-;-;-;-;-;-;-;2
"311300 Caraí";-;-;1;2;-;-;-;-;-;-;-;-;3
"311330 Carangola";1;3;2;7;6;7;1;-;-;-;2;-;29
"311340 Caratinga";6;16;100;69;1;3;-;-;-;-;1;-;196
"311350 Carbonita";-;-;-;-;-;-;-;-;-;-;1;-;1
"311370 Carlos Chagas";1;4;9;25;37;14;6;1;1;1;3;-;102
"311400 Carmo da Mata";2;20;67;65;28;4;-;-;-;-;-;-;186
"311430 Carmo do Paranaíba";3;1;55;153;126;15;6;3;-;1;-;-;363
"311440 Carmo do Rio Claro";-;-;-;1;-;-;-;-;-;-;-;-;1
"311450 Carmópolis de Minas";2;5;4;9;-;-;-;-;-;-;-;2;22
"311455 Carneirinho";33;35;16;15;7;3;-;3;-;-;-;-;112
"311510 Cássia";-;10;108;161;71;9;-;-;-;-;-;-;359
"311530 Cataguases";1;7;30;106;76;10;5;3;1;5;15;3;262
"311545 Catuji";-;-;6;7;-;4;1;-;-;1;-;-;19
"311550 Caxambu";-;4;15;31;29;9;3;2;1;1;3;-;98
"311560 Cedro do Abaeté";-;-;-;1;-;-;-;-;-;-;-;-;1
"311570 Central de Minas";6;10;30;35;11;1;-;-;-;-;-;-;93
"311580 Centralina";-;-;2;-;-;-;-;-;-;-;-;-;2
"311600 Chalé";-;1;-;-;-;-;-;-;-;-;-;-;1
"311610 Chapada do Norte";1;1;50;99;45;11;5;-;-;-;-;-;212
"311615 Chapada Gaúcha";1;14;33;58;35;14;6;-;-;-;2;-;163
"311640 Claraval";-;1;-;-;-;-;-;-;-;-;-;-;1
"311660 Cláudio";-;-;1;1;3;-;2;-;-;-;-;-;7
"311680 Coluna";-;-;-;-;-;1;-;-;-;-;-;-;1
"311690 Comendador Gomes";-;-;2;12;13;-;-;-;-;-;-;-;27
"311730 Conceição das Alagoas";1;-;1;-;2;1;-;1;-;-;-;2;8
"311740 Conceição de Ipanema";-;1;-;-;-;-;-;-;-;-;-;-;1
"311750 Conceição do Mato Dentro";2;-;2;1;1;-;-;-;-;-;1;-;7
"311760 Conceição do Pará";1;-;1;2;-;-;-;-;-;-;-;-;4
"311770 Conceição do Rio Verde";-;1;1;-;-;-;-;-;-;-;-;-;2
"311780 Conceição dos Ouros";-;-;6;51;8;-;-;-;-;-;-;-;65
"311783 Cônego Marinho";-;2;2;-;-;-;-;-;-;-;-;-;4
"311787 Confins";-;1;4;2;-;-;-;-;-;-;-;-;7
"311800 Congonhas";4;2;2;3;4;-;-;-;-;-;-;1;16
"311820 Conquista";4;7;6;10;3;1;-;-;-;-;-;-;31
"311830 Conselheiro Lafaiete";1;3;-;2;-;-;-;-;-;-;-;-;6
"311840 Conselheiro Pena";40;46;32;41;16;4;7;3;3;4;4;6;206
"311860 Contagem";39;131;169;73;57;37;49;13;13;18;15;10;624
"311880 Coração de Jesus";-;-;-;-;-;-;1;-;-;-;-;-;1
"311890 Cordisburgo";8;15;18;5;2;7;-;1;-;2;1;-;59
"311900 Cordislândia";-;-;1;7;-;-;-;-;-;-;-;-;8
"311910 Corinto";2;1;6;2;1;3;-;-;-;-;3;2;20
"311920 Coroaci";2;47;87;27;13;2;-;-;-;-;-;-;178
"311930 Coromandel";1;1;-;-;-;-;-;-;-;2;2;1;7
"311940 Coronel Fabriciano";56;135;195;148;137;68;34;10;10;10;9;6;818
"311950 Coronel Murta";-;3;-;3;-;-;-;-;-;-;-;-;6
"311960 Coronel Pacheco";-;-;1;-;-;-;-;-;-;-;-;-;1
"311995 Córrego Fundo";-;-;1;4;3;-;-;-;-;-;-;-;8
"312000 Córrego Novo";-;-;-;2;-;-;-;-;-;-;-;-;2
"312010 Couto de Magalhães de Minas";35;32;3;5;-;-;1;1;-;-;4;1;82
"312015 Crisólita";1;3;11;28;18;2;-;-;-;-;-;-;63
"312020 Cristais";6;14;13;12;1;1;-;-;-;-;-;-;47
"312030 Cristália";-;3;-;-;-;-;-;-;-;-;-;-;3
"312050 Cristina";-;-;-;1;-;-;-;-;-;-;-;-;1
"312080 Cruzília";-;-;-;1;-;-;1;-;-;-;-;2;4
"312083 Cuparaque";-;-;4;2;1;-;-;-;1;-;-;-;8
"312090 Curvelo";2;4;6;5;6;1;1;-;-;-;-;2;27
"312100 Datas";-;1;1;-;-;-;-;1;-;-;-;-;3
"312120 Delfinópolis";-;1;1;-;-;-;-;-;-;-;-;-;2
"312130 Descoberto";-;-;-;1;-;-;-;-;-;-;-;-;1
"312160 Diamantina";2;2;4;8;-;3;-;-;-;-;-;-;19
"312180 Dionísio";1;2;-;-;-;-;-;-;-;-;-;-;3
"312200 Divino";-;-;-;-;1;-;-;-;-;-;-;-;1
"312210 Divino das Laranjeiras";1;2;4;17;8;1;-;-;-;-;-;-;33
"312220 Divinolândia de Minas";-;3;10;21;22;7;-;-;-;-;-;1;64
"312230 Divinópolis";25;61;129;154;121;58;21;17;12;14;3;7;622
"312235 Divisa Alegre";-;1;3;1;-;-;-;-;-;-;2;-;7
"312245 Divisópolis";-;2;1;1;-;1;-;-;-;-;-;-;5
"312250 Dom Cavati";-;-;-;-;2;-;-;-;-;-;2;-;4
"312270 Dom Silvério";-;-;-;-;-;2;-;-;-;-;-;-;2
"312290 Dona Eusébia";-;-;6;25;11;2;1;-;-;1;-;-;46
"312300 Dores de Campos";1;1;-;10;1;-;-;-;-;-;-;-;13
"312310 Dores de Guanhães";-;-;-;7;-;-;-;-;-;-;-;1;8
"312320 Dores do Indaiá";1;4;1;5;5;4;-;1;-;-;1;2;24
"312340 Doresópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"312352 Durandé";-;-;-;-;1;-;-;-;-;-;-;-;1
"312360 Elói Mendes";-;-;-;1;-;-;-;-;-;-;-;-;1
"312370 Engenheiro Caldas";-;2;-;-;2;1;-;-;-;-;-;-;5
"312380 Engenheiro Navarro";2;1;-;1;-;-;1;-;-;-;1;4;10
"312385 Entre Folhas";-;-;1;-;-;-;-;-;-;-;-;-;1
"312390 Entre Rios de Minas";-;-;1;-;-;-;-;-;-;-;-;-;1
"312400 Ervália";-;-;-;1;-;-;-;-;-;-;-;-;1
"312410 Esmeraldas";-;-;-;1;-;1;-;-;-;-;-;-;2
"312420 Espera Feliz";-;2;-;-;-;-;-;-;-;-;-;1;3
"312430 Espinosa";-;1;-;-;-;1;-;-;-;-;-;-;2
"312470 Estrela do Indaiá";-;-;-;2;1;-;-;-;-;1;-;-;4
"312480 Estrela do Sul";-;-;1;3;2;-;-;-;-;-;1;-;7
"312490 Eugenópolis";-;-;-;-;-;-;1;-;-;-;-;-;1
"312510 Extrema";1;-;-;-;-;-;-;-;-;-;-;-;1
"312520 Fama";2;-;4;5;1;-;-;-;-;-;-;-;12
"312560 Felisburgo";7;33;37;6;21;-;-;-;-;-;-;-;104
"312570 Felixlândia";-;11;15;17;9;1;-;-;-;-;2;4;59
"312580 Fernandes Tourinho";-;-;-;1;-;-;-;-;-;-;-;-;1
"312600 Florestal";2;7;5;3;1;1;-;-;-;-;-;-;19
"312610 Formiga";35;45;93;51;18;2;1;-;1;2;-;2;250
"312620 Formoso";-;-;-;1;-;-;-;-;-;-;-;-;1
"312640 Fortuna de Minas";-;-;-;-;-;-;-;-;1;-;-;-;1
"312650 Francisco Badaró";-;-;-;-;1;-;-;-;-;-;2;1;4
"312660 Francisco Dumont";-;-;2;-;-;-;-;-;-;-;-;-;2
"312670 Francisco Sá";-;1;-;4;6;4;-;-;-;-;-;-;15
"312675 Franciscópolis";-;-;1;15;9;4;-;-;-;-;-;-;29
"312680 Frei Gaspar";35;48;17;8;14;-;1;-;-;-;-;-;123
"312690 Frei Inocêncio";-;-;-;1;-;-;-;-;-;-;-;-;1
"312700 Fronteira";3;2;2;1;-;-;-;1;-;-;-;-;9
"312705 Fronteira dos Vales";-;-;-;-;1;2;1;-;-;-;-;-;4
"312710 Frutal";2;-;6;5;-;1;-;-;-;-;-;-;14
"312720 Funilândia";-;1;1;1;2;-;-;-;-;-;-;-;5
"312730 Galiléia";-;3;20;3;1;2;-;-;-;-;-;-;29
"312733 Gameleiras";-;-;-;-;-;-;-;1;-;-;3;-;4
"312735 Glaucilândia";-;2;-;-;-;2;-;1;-;-;-;-;5
"312738 Goianá";1;-;-;-;-;-;-;-;-;-;-;-;1
"312760 Gouveia";1;1;-;1;-;1;1;-;-;-;-;-;5
"312770 Governador Valadares";35;150;142;240;259;136;70;32;35;8;2;4;1113
"312790 Grupiara";-;3;6;-;-;-;-;-;-;-;-;-;9
"312800 Guanhães";-;-;4;4;3;1;-;-;-;-;-;-;12
"312810 Guapé";-;1;3;1;1;-;-;-;-;-;-;-;6
"312825 Guaraciama";-;-;-;-;-;-;-;-;-;-;-;1;1
"312830 Guaranésia";1;-;2;1;3;-;-;1;-;-;-;-;8
"312840 Guarani";2;2;-;1;-;-;-;-;-;-;-;-;5
"312860 Guarda-Mor";-;-;-;1;-;-;-;-;-;-;-;-;1
"312870 Guaxupé";2;6;25;69;47;1;1;1;1;-;-;-;153
"312880 Guidoval";4;4;1;1;1;-;1;2;-;-;-;-;14
"312890 Guimarânia";-;-;-;-;-;1;1;-;-;-;-;-;2
"312900 Guiricema";1;1;3;-;-;-;-;-;-;-;-;-;5
"312910 Gurinhatã";4;26;-;1;-;-;1;1;-;-;1;-;34
"312930 Iapu";-;2;-;-;1;-;-;-;-;-;-;1;4
"312980 Ibirité";11;16;56;44;30;12;10;2;3;1;4;3;192
"313005 Icaraí de Minas";1;-;12;29;13;2;-;-;1;-;-;-;58
"313020 Igaratinga";2;5;23;70;83;12;6;2;3;8;2;4;220
"313030 Iguatama";1;-;-;-;-;-;-;-;-;-;-;-;1
"313050 Ilicínea";-;2;48;76;12;1;-;1;-;-;1;-;141
"313055 Imbé de Minas";-;-;-;1;-;-;-;-;-;-;-;-;1
"313070 Indianópolis";-;-;-;-;3;-;-;-;-;-;-;-;3
"313090 Inhapim";1;1;2;5;-;-;-;1;-;-;-;-;10
"313100 Inhaúma";83;35;8;-;-;1;-;-;-;-;-;3;130
"313110 Inimutaba";-;-;-;-;1;-;-;-;-;-;-;-;1
"313115 Ipaba";5;2;1;5;2;2;-;-;-;-;-;-;17
"313120 Ipanema";111;146;113;70;31;4;1;2;-;-;-;3;481
"313130 Ipatinga";71;140;174;202;280;177;63;60;31;51;45;52;1346
"313140 Ipiaçu";6;8;52;74;43;4;1;5;1;-;1;2;197
"313160 Iraí de Minas";-;-;-;-;1;-;-;-;-;-;-;-;1
"313170 Itabira";16;46;114;174;111;48;15;5;2;-;2;1;534
"313180 Itabirinha";8;49;116;32;4;3;-;-;1;-;1;-;214
"313190 Itabirito";-;1;-;-;-;-;-;-;-;-;-;-;1
"313210 Itacarambi";-;-;-;-;-;1;-;-;-;-;-;1;2
"313220 Itaguara";-;-;-;1;-;-;-;-;-;-;-;-;1
"313230 Itaipé";-;-;16;42;19;5;1;1;-;-;-;1;85
"313240 Itajubá";32;185;281;326;114;18;5;2;1;-;-;1;965
"313250 Itamarandiba";-;1;1;-;1;-;-;-;-;1;4;3;11
"313260 Itamarati de Minas";1;-;-;1;2;-;-;-;-;-;-;-;4
"313270 Itambacuri";113;269;143;8;-;2;1;-;-;1;-;3;540
"313280 Itambé do Mato Dentro";-;-;-;-;1;-;-;-;-;-;-;-;1
"313290 Itamogi";1;-;-;-;1;-;-;-;-;-;-;1;3
"313300 Itamonte";-;1;1;6;3;-;-;-;-;-;-;-;11
"313310 Itanhandu";-;2;3;2;-;-;-;-;-;-;1;-;8
"313320 Itanhomi";24;63;16;1;2;-;-;-;-;-;-;-;106
"313330 Itaobim";2;73;191;81;22;4;1;-;-;-;1;1;376
"313340 Itapagipe";8;12;54;96;48;4;2;-;2;2;1;-;229
"313350 Itapecerica";2;3;2;7;16;4;3;-;-;-;-;-;37
"313370 Itatiaiuçu";3;2;3;9;5;-;-;-;-;-;-;-;22
"313375 Itaú de Minas";1;4;3;6;1;2;-;-;-;-;-;-;17
"313380 Itaúna";2;2;26;52;41;7;-;2;4;-;2;-;138
"313400 Itinga";3;28;22;16;13;4;-;-;1;-;-;-;87
"313410 Itueta";-;-;1;2;-;1;-;1;1;-;8;2;16
"313420 Ituiutaba";154;264;295;245;112;42;35;17;2;-;-;18;1184
"313440 Iturama";40;121;116;117;73;45;33;8;4;-;2;-;559
"313460 Jaboticatubas";1;1;1;-;-;1;-;1;-;-;-;-;5
"313490 Jacutinga";-;-;-;1;-;-;-;-;-;-;-;-;1
